Name,Glossary,Rules,内含规则,所属规则
规则,Rules,,"基础规则 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%9F%BA%E7%A1%80%E8%A7%84%E5%88%99%201b3d619a067b80b0b29df81f1e86ca0e.csv), 扩展规则 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%89%A9%E5%B1%95%E8%A7%84%E5%88%99%201b3d619a067b80f9a809f6ff7226ffd5.csv), 自定规则 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%87%AA%E5%AE%9A%E8%A7%84%E5%88%99%201b3d619a067b803abeaec710b79a4e8a.csv)",简介 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%AE%80%E4%BB%8B%201b3d619a067b8013924acffdef02e737.csv)
基础规则,Basic Rules,,,规则 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%84%E5%88%99%201b3d619a067b80b48b72cb7c62cb1c25.csv)
扩展规则,Alternative Rules,,,规则 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%84%E5%88%99%201b3d619a067b80b48b72cb7c62cb1c25.csv)
自定规则,Customized Rules,,,规则 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E8%A7%84%E5%88%99%201b3d619a067b80b48b72cb7c62cb1c25.csv)
如何游戏,How to Play,,"描述环境 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E6%8F%8F%E8%BF%B0%E7%8E%AF%E5%A2%83%201b3d619a067b80e896e6d9168ae9a6a9.csv), 声明行动 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A3%B0%E6%98%8E%E8%A1%8C%E5%8A%A8%201b3d619a067b8094b0bcf151f5f02fa0.csv), 判定结果 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%88%A4%E5%AE%9A%E7%BB%93%E6%9E%9C%201b3d619a067b8072a14bde6962b3dee7.csv)",简介 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%AE%80%E4%BB%8B%201b3d619a067b8013924acffdef02e737.csv)
描述环境,Describing Environment,,,如何游戏 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A6%82%E4%BD%95%E6%B8%B8%E6%88%8F%201b3d619a067b80199703f1f0e08a8af4.csv)
声明行动,Declaring Actions,,,如何游戏 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A6%82%E4%BD%95%E6%B8%B8%E6%88%8F%201b3d619a067b80199703f1f0e08a8af4.csv)
判定结果,Processing Results,,,如何游戏 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%A6%82%E4%BD%95%E6%B8%B8%E6%88%8F%201b3d619a067b80199703f1f0e08a8af4.csv)
常用计算,Calculation,,"算式 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%AE%97%E5%BC%8F%201b3d619a067b80689ebdc0f3c4aa1fa1.csv), 孰高 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%AD%B0%E9%AB%98%201b3d619a067b80f7ae60db18ba755642.csv), 孰低 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%AD%B0%E4%BD%8E%201b3d619a067b80129f8ad6f93d692b0b.csv), 差值 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B7%AE%E5%80%BC%201b3d619a067b800abf40dca505e9e89d.csv)",简介 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E7%AE%80%E4%BB%8B%201b3d619a067b8013924acffdef02e737.csv)
算式,Expressions,,,常用计算 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B8%B8%E7%94%A8%E8%AE%A1%E7%AE%97%201b3d619a067b801b8bdff9c5997543c7.csv)
孰高,Take Higher,,,常用计算 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B8%B8%E7%94%A8%E8%AE%A1%E7%AE%97%201b3d619a067b801b8bdff9c5997543c7.csv)
孰低,Take Lower,,,常用计算 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B8%B8%E7%94%A8%E8%AE%A1%E7%AE%97%201b3d619a067b801b8bdff9c5997543c7.csv)
差值,Deviation,,,常用计算 (%E8%A7%84%E5%88%99%E5%BA%93%201b3d619a067b8045bba2c47cb15f5c88/%E5%B8%B8%E7%94%A8%E8%AE%A1%E7%AE%97%201b3d619a067b801b8bdff9c5997543c7.csv)
